Player Input,NPC Response
"Sheogorath, What exactly does that mean?",Do something unexpected and delightfully chaotic
Largashbur,"Cursed by Malacath, or punished by fate?"
Restoration,"Gift of healing, or denial of death?"
Can you tell me about snow elves?,Who writes the fate of snow elves?
I'd like to learn about ghostfence?,Ghostfence does not forgive trespassers.
"Torvin, How does that work?","The path to Whiterun lies south, take the road past the stone pillars and you’ll soon see the gates"
I need to know about Torbjorn?,"I’ve never met someone as focused as Vilkas. He’s all about the mission, and that’s what makes him one of the strongest Companions."
Svenja,A sword is only as good as the hand that wields it
"moon sugar, I want to understand better.",Moon Sugar was written in fire and shadow.
"Describe what the College of Winterhold is, Why is that important?","It’s a school for magic, but most of Skyrim’s Nords don’t trust it"
Clarify.,"Lab beneath wisdom, or pit of danger?"
Could you explain Moon Sugar?,"Drug of the Khajiit, or treasure of the sands?"
What should I do with the enchanted ring?,Take it to the sorcerer. They’ll use it to unlock its true power.
where can i get a follower,"Taverns, the Companions, or hire a mercenary."
"Hilda, I want to understand better.","To reach the town of Markarth, head westward, climb the mountains and cross the riverside path"
"Pelagius III, What exactly does that mean?","Mad king, or misunderstood soul?"
"Good night, I’ve heard, but I want to know more.","Good night, and may your dreams be peaceful."
"Why you following me, Tell me more about this.",Maybe you’re just interesting
Could you explain Where is the treasure hidden??,It’s buried under the old tree in the graveyard. You’ll need to dig deep.
Could you explain Forsworn Briarheart?,Rage replaces the heart that once beat
Clarify.,fake it then never call them again
I'd like to learn about Hilda?,"If you’re looking for answers about the Dragonborn, you’d better ask someone who’s seen them firsthand. I know only tales."
Northwind Summit,"Peak of echoes, or whisper of the past?"
Details?,"Destroy his dark altar to weaken him, then strike while he’s vulnerable."
"What’s the worst thing you’ve woken up next to?, Why is that important?",A note that said ‘I took your money and your dignity. Thanks for the fun.’
I was wondering about boethiah?,Boethiah was written in fire and shadow.
Do you know anything about Where can I find the hidden city??,"It’s in the mountains, behind the illusionary waterfall."
"Rorikstead, What exactly does that mean?",Strange peace lies behind every smile
"alchemy, What exactly does that mean?",The art of mixing potions and poisons.
"what is the hist, How does that work?",The Hist are ancient sentient trees that connect the Argonians to their homeland Black Marsh
"Too slow, Give me more details.",Still faster than you
voice of the sky,Voice of the Sky does not forgive trespassers.
"What do I do with the magical gem?, Can you explain?",Take it to the mage in the village. They’ll know how to use it.
Explain.,I could ask you the same thing
Clarify.,"Read maps, listen to rumors."
Do you know anything about namira?,Would you dare speak the name of namira aloud?
Can you tell me about falmer?,Even the gods fear falmer.
Tell me.,"Find them, craft them, or take them off someone who no longer needs them"
I was wondering about ring?,"Some hold power, others just shine."
Do you know anything about spriggan?,Who writes the fate of spriggan?
I need to know about Galmar?,"Kodlak may be wise, but there’s a sadness in his eyes. I think he knows his time is drawing near."
Can you tell me about leyawiin?,Leyawiin... it echoes through history.
what should i do now,Whatever you came here for.
Pathetic,Takes one to know one
"Mercer Frey, I’ve heard, but I want to know more.","Leader of lies, or master of masks?"
"sigil stone, Tell me more about this.","Some worship sigil stone, others curse its name."
I need to know about elinhir?,Could you survive the trials of elinhir?
I was wondering about What should I do after speaking to the mayor??,Follow the trail toward the mines. You’ll find clues there.
leader,"Kings, Jarls, and warlords… who do you seek?"
"skald, How does that work?","Voice of the people, or servant of the throne?"
"Heimskr, What exactly does that mean?",Talos watches over us all
"Nobody asked, I’ve heard, but I want to know more.","And yet, here I am"
I was wondering about Who was Fa-Nuit-Hen??,"Fa-Nuit-Hen is a lesser-known Daedric Prince, patron of duels and combat mastery."
Explain.,I’m good at that.
Details?,"Salvation of mortals, or denial of fate?"
"Orin, Give me more details.","Let your enemies underestimate you, they will regret it"
"markarth, Can you explain?","Some worship markarth, others curse its name."
"Viggo, What exactly does that mean?","To find Dawnstar, head northeast, cross the frozen lands and you’ll see the town ahead"
I'd like to learn about who is clavicus vile?,Clavicus Vile is the Daedric Prince of Bargains and Wishes often granting power at a cost
tell me a story,"Once upon a time, in the land of Tamriel, a hero rose to face the darkness..."
dunmer,Who writes the fate of dunmer?
Can you tell me about Gormlaith Golden-Braid?,"Stand tall, and never forget who you are"
Tell me.,Take it to the wizard in the tower. He will unlock its true power.
"Orsimer, I want to understand better.","Children of Malacath, or fallen elves?"
I need to know about voice of the sky?,Voice of the Sky does not forgive trespassers.
How do I fight someone with multiple phases?,Learn their patterns and adapt to each phase.
I need to know about How do I defeat the cursed knight??,Use silver weapons and make sure to strike during daylight.
I need to know about whats the best way to get away with cheating?,don’t get caught
"wolf, Why is that important?",They hunt in packs.
I need to know about Shut it?,"Nah, I like talking"
"armor, Why is that important?","Is it weight, or reassurance?"
I was wondering about You useless?,"Yet here you are, asking me for help"
Clarify.,a strong mead on a cold night
blades,Blades was written in fire and shadow.
shadow,What hides or what watches?
Can you tell me about Temple of Kynareth?,"Sanctuary of breath, or altar of silence?"
"You ain’t about it, Can you explain?",Try me then
More info?,It’s in the temple beneath the city. The entrance is hidden under the floor.
Lycanthropy,"Gift of the Hunt, or curse of the moon?"
Clarify.,Cleanse the Hall of the Dead and restore peace
Could you explain Brynn?,"To find Markarth, follow the river to the west, its stone city rises from the mountains"
twilight sepulcher,Twilight Sepulcher... it echoes through history.
Could you explain Skjor?,"Your trial is with the Silver Hand, not with words"
Explain alchemy training,"Arcadia in Whiterun is skilled, and the College has alchemists who can teach you"
"stormcloak, Give me more details.",Stormcloak was written in fire and shadow.
I need to know about Esbern?,"Seeker of knowledge, or remnant of paranoia?"
Do you know anything about what do you believe?,That’s personal.
"Tell me of the Numidium., I want to understand better.","The Numidium was a massive Dwemer golem, used by Tiber Septim to unite Tamriel."
Can you tell me about Fort Frostmoth?,"Ruins of war, or tomb of command?"
Tell me.,"Shaman of wisdom, or martyr to magic?"
"whats the weirdest thing youve overheard, How does that work?",a thalmor complaining that the jarl was too soft in private matters
Where can I find books on magic,The Arcanaeum at the College holds many.
Clarify.,Song shapes hearts and history alike
Clarify.,"Not much, traveler. What can I do for you?"
"Fiona, What exactly does that mean?",A steady mind is as important as a steady hand
"What you doing here, Give me more details.",None of your damn business
whats the best bed in town,the jarl’s if you’re bold enough to sneak in
"Vesna, What exactly does that mean?","The road to Solitude lies west, cross the mountain pass and you will find it looming in the distance"
do you like the redguards,The Redguards are skilled warriors and sailors. They are a proud and noble people.
you ever been with someone out of your league,once it was amazing never saw them again
Clarify.,the one with the sharpest blade
Clarify.,"The Adamantine Tower, also called Direnni Tower, is the oldest structure in Tamriel, built by the Aedra."
"where can i find someone to kill, I’ve heard, but I want to know more.",that depends on how much gold you have
silver,Currency or purity?
I'd like to learn about Whiterun?,"Center of Skyrim, or pawn of the Empire?"
Can you tell me about Where can I find the magical flower??,It blooms in the hidden glade deep within the forest.
psijic order,Psijic Order was written in fire and shadow.
"do you like the bosmer, I want to understand better.",The Bosmer are a nature-loving and agile race. They are the masters of the forest.
I was wondering about Brynjolf?,"Riften lies to the southeast, follow the winding road through the woods and across the river"
How do I fight against a berserker?,Dodge their wild strikes and look for openings.
I'd like to learn about mudcrab?,More dangerous than they look.
Could you explain wraith?,"Memory with claws, or soul denied peace?"
Details?,Blood of the Dragon does not forgive trespassers.
Karliah,"Ghost of betrayal, or light in dark?"
I was wondering about Get lost?,You first
Could you explain Paarthurnax?,"Dragon of wisdom, or sinner in hiding?"
Explain.,"Servant of fear, or seeker of survival?"
Explain.,"Focus on dodging, and whittle them down one at a time."
Explain.,"They hunt vampires, sworn to protect Skyrim from the undead menace."
"meridia, I want to understand better.",They say meridia whispers to the brave and the mad.
Bandit Chief,Gold rules stronger than oaths
I'd like to learn about falmer?,Falmer does not forgive trespassers.
"be well, I’ve heard, but I want to know more.","You too, traveler."
Do you know anything about Baldur?,Never forget that even the strongest warrior can fall
Explain.,"Ancient marvel, or forgotten hubris?"
miraak,Miraak holds truths best left buried.
"Step back, Give me more details.",Why don’t you step forward and prove something
Tell me.,"Some say the Aedra are gods, others follow the Daedra."
Brynjolf,"If you seek Riften, take the road southeast through the forest, past the marshlands"
I was wondering about who is ysgramor?,A legendary Nord who led the Five Hundred Companions.
What's the strangest place you've done it?,On the back of a silt strider. The rocking made it… interesting.
Do you know anything about Ever been in a fight?,"Of course. Question is, do you want to hear about the ones I won or lost"
Alvor,Craft a blade worthy of the Companions
Tell me.,Good question
"who are the giants, Give me more details.","Massive humanoids, best left undisturbed."
I need to know about What’s the best city?,"Depends—do you like crime, politics, or snow"
Who tf are you,Someone you don’t wanna mess with
I was wondering about HoonDing?,"Make-way god, or spirit of resistance?"
"dominate me, How does that work?",Good. I like obedience.
"Stormcloaks, I want to understand better.",Freedom comes at the edge of a sword
"Vera, Can you explain?","There’s no one more determined than Farkas. If you need someone to watch your back, he’s the one you want."
The Throat of the World,Speak here and the heavens listen
I need to know about tell me?,About what?
How do I defeat the fire drake?,"Use water magic to douse its flames, then strike at its heart when it’s exposed."
Iseldra,"Only the strong survive, but it’s the wise who thrive"
I was wondering about nord?,How many lives has nord claimed in silence?
"Where is the entrance to the hidden vault?, Why is that important?",It’s in the old castle. Look for a hidden lever beneath the stone floor.
Could you explain high rock?,What did it cost to silence high rock?
elderscrolls,Not even time forgets the horrors of elderscrolls.
scroll of almsivi,Even the gods fear scroll of almsivi.
"Ever seen a dragon, I want to understand better.","Not yet, but I hope I never do."
I was wondering about Companions?,"Brothers in arms, or cursed by blood?"
Clarify.,"Spire of power, or throne of history?"
"where do i find dragons, I’ve heard, but I want to know more.",They nest on mountaintops and in ancient ruins.
Tell me about the Ghostfence,"A magical barrier in Morrowind, once used to contain the Blight"
Could you explain Where can I find treasure??,"Ancient Nordic tombs often hold gold and relics, but beware—restless dead guard them well."
Where is the entrance to the hidden cave?,It’s behind the waterfall near the cliffs. Look for a glowing stone marking the entrance.
Could you explain Vahlok’s Tomb?,Only one dragon priest walks the path of fire
I'd like to learn about Kari?,"Strength in battle is one thing, strength in spirit is another"
I'd like to learn about fuck me until i break?,I do love a challenge.
what is the college of winterhold,"A place of magical study, high in the north."
Night Powers,"Gift of shadows, or price of solitude?"
Details?,"Yeah, and those are the ones you should probably avoid"
"Step up, What exactly does that mean?",You first
I was wondering about Where is the hidden shrine??,"It’s deep within the forest, hidden by illusions. Look for the glowing flowers."
who are the greybeards,The Greybeards are monks who devote themselves to the study of the Thu’um only speaking when absolutely necessary
Can you tell me about What’s the most fun you’ve had with your clothes on??,Wouldn’t you rather hear about the fun I’ve had with them off?
I need to know about Roland?,"The battle may be fierce, but your will must be fiercer"
I need to know about You done talking?,"Nah, I got a lot left to say"
Tell me.,"Titus Mede II, though his hold is weak."
"Auriel's Bow, Tell me more about this.","Light in darkness, or weapon of judgment?"
come here,I have my own path to walk.
More info?,Some say the Black-Bloods rule the waters.
"do you like the ghosts, Give me more details.",Ghosts are resistant to normal weapons. Use enchanted or silver weapons to defeat them.
Clarify.,It’s deep within the catacombs beneath the old castle. Only those with a key can enter.
Could you explain thalmor?,Keepers of order or architects of arrogance?
Explain.,only the dead keep their secrets
"Aela, I want to understand better.","Head south towards the mountains, the town of Falkreath is just beyond the trees"
Explain.,"Likewise, traveler. How can I assist?"
thane,"Honor given, or favor bought?"
I'd like to learn about Labyrinthian?,"Maze of magic, or grave of hope?"
I'd like to learn about what is the thieves guild?,The Thieves Guild is a secretive organization of criminals operating in the shadows seeking wealth and influence
"morning, I want to understand better.","A bright morning to you, traveler."
"mankar camoran, Can you explain?",Even the gods fear mankar camoran.
Ever had a drink so strong you forgot a whole night?,Only once. Woke up married. Not my best moment.
Clarify.,"Wind of torment, or flame of genius?"
psijic order,Psijic Order was written in fire and shadow.
Could you explain ghostfence?,Not even time forgets the horrors of ghostfence.
What’s the best race to bed?,Depends on what you like. Stamina? Nords. Passion? Dunmer. Mystery? Khajiit.
"eternal, What exactly does that mean?",Nothing truly lasts forever.
Details?,"Yeah, my brain be playing bloopers"
"Bard, Give me more details.","Keeper of song, or whisperer of lies?"
Do you know anything about What’s the secret to a successful counterattack??,"Wait for them to make a move, then strike as they overextend."
gold,Everyone wants more of it.
"How do I gather the ingredients?, Give me more details.",Look in the forest at dawn. The rare mushrooms only grow in the early morning.
Where is the entrance to the ancient library?,It’s beneath the old palace. You’ll need a special key to open the door.
You slow as hell,"And yet, here you are talking to me"
"The Crusader’s Relics, Can you explain?","Armor of light, or burden of legend?"
"Zenithar, How does that work?",Hard work and honor shape fortune
Moonstone,"Gleam of elves, or echo of the moons?"
"do you like the dunmer, Can you explain?",The Dunmer are a resilient and resourceful race. They are the people of Morrowind.
"omen, Why is that important?","A sign of what is coming, if you believe."
"tamriel, I’ve heard, but I want to know more.",Tamriel does not forgive trespassers.
Clarify.,Challenge accepted.
"Amren, I’ve heard, but I want to know more.","Sword of legacy, or voice of past?"
What can I do if I run out of stamina?,"Back off, wait for a moment to recover, and stay defensive."
Could you explain twilight sepulcher?,Twilight Sepulcher... it echoes through history.
numidium,What did it cost to silence numidium?
Clarify.,"Font of stars, or relics of light?"
"How do I track the killer?, How does that work?",Follow the trail of footprints near the town square. It will lead you to their hideout.
"Captain Aldis, Give me more details.",The Legion needs strong arms and sharper minds
I was wondering about Who is the Ebony Warrior??,"A warrior of legend, seeking one final challenge before Sovngarde claims him."
Do you know anything about Why do the Khajiit look different??,"Khajiit forms change depending on the moons at their birth—some walk as men, others as great cats."
I'd like to learn about Hilda?,"Your strength is your most valuable asset, protect it"
"Shearpoint, Can you explain?","Resting place, or ambush of silence?"
Could you explain where can i get the strongest dagger?,"Mehrunes' Razor, if you dare claim it."
what do you see,Same as you.
whats the worst thing to whisper in bed,is that all
Details?,Check the abandoned castle in the north. They were last seen there.
Tell me.,"Justice served, or balance broken?"
Aetherial Staff,"Summoner’s tool, or controller of will?"
Ysgramor,"Father of Skyrim, or conqueror of Mer?"
I'd like to learn about Describe the Alessian Rebellion?,"A revolt that freed men from Ayleid rule, led by the first Empress, Alessia"
I need to know about What’s the quickest way to finish the quest??,"Head straight to the mountains, avoiding any detours. The artifact is hidden there."
"Where do I find the Dark Brotherhood, Tell me more about this.","If they want you, they will find you."
"apocrypha, I’ve heard, but I want to know more.",How many lives has apocrypha claimed in silence?
Details?,"The ruins hold knowledge, if you can survive them."
Do you know anything about Hadvar?,"The Empire may be harsh, but it brings order"
More info?,Some say the Great Collapse was a natural disaster—others blame reckless magic
Could you explain forsworn?,Savage rebels of the Reach.
Could you explain Baldor?,"Without my tools, the forge lies cold"
Can you tell me about How do I fight with magic??,"Use spells to control the fight, but don’t overextend. Conserve your mana."
"Uthgerd the Unbroken, Why is that important?","Fist of resolve, or soul unhealed?"
I'd like to learn about Ulf?,"There is no strength without wisdom, no wisdom without experience"
I need to know about Captain Modyn Veleth?,Ash spawn won’t stop until we end their source
Clarify.,"Throat of the world, or heart of conflict?"
J'Zargo,"The path to the ancient forest lies southwest, look for the deep green foliage and the hidden path"
sithis,Would you dare speak the name of sithis aloud?
Can you tell me about Tell me of the Numidium.?,"The Numidium was a massive Dwemer golem, used by Tiber Septim to unite Tamriel."
How do I pass through the sand veil,Carry the windstone and walk against the storm without fear
Moon Amulet,"Token of family, or relic of beasts?"
gift,"Given freely, or a burden wrapped in gold?"
How do I defeat the shadow beast?,"Use light to weaken its form, then strike when it’s fully visible."
I need to know about Aela?,"Learn from nature, for it is a warrior’s greatest teacher"
Explain why everyone talks about High Hrothgar,"It’s where the Greybeards live, waiting for the Dragonborn to show up"
"Ingun Black-Briar, Tell me more about this.","Alchemist of sorrow, or daughter of duty?"
fire,"Burns everything, even the undead."
Clarify.,"Path of treasure, or test of insight?"
Clarify.,Return it to the temple of light. They can cleanse it for you.
I was wondering about how do i escape?,there is always a way out
Tell me.,Stay mobile and wear them down with quick strikes.
Could you explain stop?,Not yet.
Labyrinthian,Only those with courage should enter its depths
Thalmor,"Masters of shadows, or foes of the free?"
"Is it true Khajiit are flexible?, Tell me more about this.","I don’t gossip, but let’s just say there’s a reason Elsweyr’s dancers are in high demand."
Who are the Worm Cult?,"The Worm Cult serves Mannimarco, raising the dead to spread his influence across Tamriel."
Could you explain merchant?,A seller of goods… or lies.
"Gorr, Can you explain?","Take each day as it comes, for tomorrow is never guaranteed"
I was wondering about do you know me?,Should I?
Where is the hidden entrance to the cave?,Look for the cracked stone near the waterfall. It leads to the cave.
"How do I reach the secret library?, What exactly does that mean?",It’s hidden beneath the old temple. The entrance is behind the stone altar.
I need to know about dagger?,"Precision, or betrayal in the dark?"
Tell me.,"Many distrust it, believing it led to the fall of Winterhold."
Clarify.,"Destructive force, or call to destiny?"
"Gundar, I want to understand better.","You must never lose sight of who you are, even in the heat of battle"
Could you explain Sibbi Black-Briar?,"Silver tongue, or rotten core?"
Can you tell me about Waking Nightmare?,"Curse of the Daedra, or truth denied?"
"Trash, Tell me more about this.","Funny, I was thinking the same about you"
Tell me.,Could you survive the trials of soul gem?
Skjor,"Blade in shadow, or voice of change?"
Can I get rich,"If you work hard, or steal well."
"Can I own a horse, I’ve heard, but I want to know more.",If you buy one or... find one.
"What should I do with this ancient relic?, How does that work?",Bring it to the temple of light. Only they can unlock its full power.
Clarify.,Who writes the fate of soul cairn?
Explain.,Names are overrated. It’s the experience that counts.
Do NPCs ever shut up,Not really
"murkmire, Tell me more about this.",Murkmire was written in fire and shadow.
Clarify.,Wisp Mother... it echoes through history.
Explain.,"Use water magic to extinguish its flames, then strike when it's weakened."
Galmar Stone-Fist,"Shield of rebellion, or hammer of hate?"
markarth,Markarth was written in fire and shadow.
I need to know about Why does my follower stand in doorways?,"Because they hate you, probably"
Do you know anything about Mehrunes Dagon?,Reforge my blade and let chaos reign
I need to know about How do I find the lost journal??,The journal is in the abandoned house to the east. Search the desk.
"Heidi, How does that work?","Fighting is a dance of life, learn the steps"
I'd like to learn about Where is the haunted mansion??,"It’s located by the lake, covered in mist. The locals avoid it."
"sithis, Tell me more about this.",Would you dare speak the name of sithis aloud?
where is the most dangerous dungeon,"Lost Valkygg is deep, dark, and deadly."
"Daedric Princes, What exactly does that mean?","Gods of chaos, or keepers of dark secrets?"
Tullius,"Warrior of Rome, or stranger to Skyrim?"
"dragonborn, Can you explain?",Dragonborn was written in fire and shadow.
Can you tell me about where can i find a daedric prince?,Their shrines are hidden across the land.
I was wondering about coldharbour?,None who enter coldharbour return unchanged.
Do you know anything about Dukaan?,"Death of frost, or echo of cruelty?"
"J'Zargo, Give me more details.","The path to the ancient forest lies southwest, look for the deep green foliage and the hidden path"
Dwemer Centurion,Do not wake what was built to guard
I need to know about How do I defeat the shadow dragon??,"Use light magic to weaken it, then strike while it’s exposed."
Can you tell me about What’s the best defense against magic??,"Use a shield, or get magic resistance. Close the gap to limit their spellcasting."
Could you explain who are you?,"Just a traveler, like you."
I was wondering about How do I enter the enchanted cave??,Find the hidden switch behind the waterfall. It will open the entrance.
who is barenziah,"A Dunmer queen, known for her beauty and ambition."
"Clavicus Vile, How does that work?","Dealer of wishes, or liar in guise?"
Tell me.,"Voice of bargains, or mask of greed?"
I need to know about Tell me of the Thalmor.?,"The Thalmor are the ruling faction of the Aldmeri Dominion, determined to restore Elven supremacy over Tamriel."
Clarify.,Tiber Septim also known as Talos was the Dragonborn who united Tamriel and ascended to godhood
More info?,Every quest in Skyrim is an opportunity for adventure and glory. Which one is your favorite?
How can I handle a tough fight without healing?,"In a tough fight, patience is key. Don’t rush in for more hits, wait for the perfect opening, and use your surroundings to give yourself an edge."
"wisp mother, What exactly does that mean?",Wisp Mother does not forgive trespassers.
"Shor, Tell me more about this.","Nordic hero, or forgotten spirit?"
Vex,"Lockpick of legends, or heart left sealed?"
kalpa,Is time a wheel or a winding road?
Details?,"They were once the Dragonborn’s sworn protectors, but the Thalmor hunted them down."
Details?,"Fast enemies are all about timing. Wait for them to make a mistake, and counter when they leave themselves open."
I'd like to learn about summerset?,How many lives has summerset claimed in silence?
Explain.,"Blade of vengeance, or grief incarnate?"
Where can I find the lost temple?,"It’s in the mountains, buried beneath the snow. Look for the cracked stone entrance."
Prophecy,"Truth unveiled, or lie made eternal?"
More info?,"At a giant camp, if you are fast enough."
"Clavicus Vile, Tell me more about this.","Giver of gifts, or seller of souls?"
"vaermina, How does that work?",Vaermina was written in fire and shadow.
Kalthar,The road to victory is built on patience and discipline
"moon sugar, Tell me more about this.","Sweet delight, or slippery slope?"
I was wondering about sigil stone?,Who writes the fate of sigil stone?
How do I defeat the ice demon?,"Use fire magic to melt its icy form, then strike when it’s vulnerable."
"What’s the weirdest kink you’ve heard of?, What exactly does that mean?",You wouldn’t believe what some nobles pay for. Let’s just say… skeevers were involved.
I need to know about Soul Trap?,"Binding of essence, or theft of self?"
Fur,"Warmth in cold, or trophy of the wild?"
I need to know about ever walked away from someone naked?,Once. It was funnier than it was awkward.
Could you explain dominate me?,Good. I like obedience.
How do I defeat an archer?,"Archers can be dangerous from a distance. Close the gap fast and keep moving to avoid being hit. If you can close the distance, they’re easy to take down."
"do you like the nords, Give me more details.",The Nords are a proud and hardy people. They are the backbone of Skyrim.
"Whats the buzz, Tell me more about this.",The buzz is that you’re here. What can I do for you?
"Sinderion, Tell me more about this.","Alchemist of obsession, or martyr of curiosity?"
"do you like the reachmen, How does that work?",The Reachmen are a fierce and independent people. They are the masters of the Reach.
What should I do after retrieving the map?,"Follow the directions closely, and beware of the traps."
Could you explain hi hi?,"Hello, hello! What’s up?"
Do you know anything about Aetherium Forge?,"Light of lost age, or fire of ambition?"
Can you tell me about Soul Cairn?,"Refuge of the dead, or torment without rest?"
"Know any love potions that actually work?, I want to understand better.",Aphrodisiac? Sure. Love? That’s just good acting.
"Olaf, Tell me more about this.","You’ll find few as skilled with magic as Farengar. He’s got a lot of knowledge, but he keeps it locked away."
More info?,"Living gods, or fallen mortals?"
Cowl,"Shadowed face, or mind in thought?"
Saadia,"Fugitive of sand, or tale of betrayal?"
Kodlak,"Wise heart, or soul in chains?"
Explain.,"The sacred essence of gods, used in rituals of immense power."
"Why do people hate magic, Give me more details.","Too many accidents, too much power."
Can you tell me about What is the College of Winterhold??,"A place of magic and learning, though many Nords distrust its power."
Ever had moon sugar in your drink?,One sip of Elsweyr’s finest and you'll be flying higher than Masser and Secunda.
Frea,Cleanse the stones and free my people from their trance
I was wondering about whats the best way to make someone cum?,right touch right timing and a little bit of patience
I need to know about How do I defeat the dark sorcerer??,"Use light magic to weaken him, then strike with your most powerful spell."
Could you explain Tamriel?,"Land of the divided, or land of endless possibility?"
Details?,"Depends on who you ask. Alduin, the Ebony Warrior, or maybe you."
Ondolemar,Talos worship must be stamped out
who is boethiah,Daedric Prince of deceit and assassination.
Tell me.,Place three crystals on the pedestal and chant the old words
I'd like to learn about dwemer?,"Vanished minds, or echoes still calculating?"
I'd like to learn about daedra?,Daedra... it echoes through history.
"jewelry, How does that work?","Some shine, some have power."
vaermina,Would you dare speak the name of vaermina aloud?
"How do I fast travel, Tell me more about this.","Open your map, click a place, and teleport like magic"
blackreach,Blackreach was written in fire and shadow.
Details?,"The Ka Po’ Tun are a race of tiger-like warriors from Akavir, said to be powerful and disciplined."
"yo whats up, Can you explain?","Not much, just waiting to help."
I'd like to learn about ever done it with someone way younger?,Let’s just say enthusiasm makes up for inexperience.
"Yngvar the Singer, I’ve heard, but I want to know more.",Songs carry memory better than stone
"Explain the Warp in the West, Can you explain?","A mysterious event where multiple factions conquered land simultaneously, reshaping the Iliac Bay"
I was wondering about Siege on the Reach?,"Attack of purpose, or rebellion of pride?"
how,You tell me.
"Ulrik, Tell me more about this.",A warrior’s true battle is fought within
I'd like to learn about Tsun?,"Guardian of gates, or judge of valor?"
Taron,"Head west, follow the old forest road, and you will find the gates of Solitude"
hows life,Life is good. What’s on your mind?
"snow elves, What exactly does that mean?",How many lives has snow elves claimed in silence?
Tell me.,"In caves, castles, and the shadows."
elsweyr,Elsweyr was written in fire and shadow.
Explain.,The Black-Briars and the Silver-Bloods hold much power.
I was wondering about Where is the entrance to the secret dungeon??,It’s beneath the old chapel. Look for the trapdoor hidden beneath the altar.
I'd like to learn about The Hidden Twilight?,"Shadow of light, or dawn of depth?"
"Ever had a wild night with a mage?, How does that work?",Let’s just say fire spells should never be involved.
I need to know about tell me a rumor?,whispers say the dead do not always rest
"sotha sil, What exactly does that mean?",Sotha Sil does not forgive trespassers.
leyawiin,"Is leyawiin the end, or merely a beginning?"
Explain.,"Assassins of the night, or cursed souls?"
Familiar,"Beastly companion, or figment of need?"
Where is the entrance to the secret cave?,It’s in the mountains. Look for a hidden entrance behind the waterfall.
I need to know about farewell?,"Farewell, traveler. May fortune favor you."
Can you tell me about What you staring at?,"A damn fool, apparently"
Tell me.,"Not much, just here to help. What do you need?"
"Vaermina, I want to understand better.","Weaver of dreams, or mistress of nightmares?"
Do you know anything about Clavicus Vile?,"Lord of deals, or demon of masks?"
Molag Bal,"King of rape, or lord of domination?"
"The Alik’r Desert, What exactly does that mean?","Sea of sand, or forge of will?"
Can you tell me about chimer?,Chimer does not forgive trespassers.
"snow elves, Why is that important?",Would you dare speak the name of snow elves aloud?
More info?,Could you survive the trials of psijic order?
Do you know anything about Try me?,I’d rather not waste my energy
"Iron, What exactly does that mean?","Foundation of might, or prison of fire?"
"Yo, back off",Or what? You gonna cry?
I'd like to learn about sotha sil?,Would you dare speak the name of sotha sil aloud?
rite,"Tradition upheld, or chains unbroken?"
Can you tell me about who is the high king of skyrim?,"There is no High King, thanks to Ulfric Stormcloak."
More info?,"The Dawnguard are an order of vampire hunters, sworn to destroy all creatures of the night."
Tell me.,Horkers are slow but tough. They are often found near the coast.
I need to know about Hammerfell?,"Land of sun, or realm of survival?"
I'd like to learn about You annoying?,And you’re still here
who is the jarl of windhelm,"Ulfric Stormcloak, unless something has changed."
Could you explain The Numidium?,"Brass god, or weapon of reality?"
Do you know anything about Sotha Sil?,Even gods must tinker in silence
"boethiah, I’ve heard, but I want to know more.",Boethiah does not forgive trespassers.
"Draugr, Can you explain?","Souls trapped in death, or guardians of ancient secrets?"
I was wondering about necromancy?,"Profane practice, or misunderstood mastery?"
Why are the Redguards great warriors?,"The Redguards are descendants of the warrior Yokudans, whose mastery of swordplay is unmatched."
Clarify.,because it is easy
"How do I defeat the serpent queen?, Tell me more about this.","Use poison to weaken her, then strike at her vulnerable neck."
Could you explain who is the fastest horse?,"Frost is swift, but Shadowmere never tires."
"kalpa, What exactly does that mean?",Is time a wheel or a winding road?
"neravarine, What exactly does that mean?",Would you dare speak the name of neravarine aloud?
Hows life,"Life is good, thank you. How about yours?"
Tell me about the Dragon Cult.,"A fanatical order that once worshipped dragons as gods, long before their fall."
"What should I do with the cursed gem?, Why is that important?",Take it to the witch. She can remove its dark magic.
"Sigrun, Why is that important?","Every battle teaches you something new, learn from them"
"oblivion, I’ve heard, but I want to know more.",Oblivion was written in fire and shadow.
the hunt,"Is the prey the test, or the hunter?"
"The Underforge, I want to understand better.","Chamber of change, or pit of secrecy?"
Do you know anything about sithis?,"Void, or the only truth?"
I need to know about Valga?,The greatest victory is the one that doesn’t need to be fought
Could you explain What’s the best strategy when surrounded??,"Control the space, stay mobile, and take them one at a time."
I was wondering about How can I improve my reaction time in combat??,"The more you fight, the faster your instincts become. Keep practicing, and soon you’ll be able to predict attacks before they happen."
Clarify.,It’s beneath the ruins in the forest. Follow the trail of broken stones.
Malacath,"God of outcasts, or voice of vengeance?"
Tell me.,Yes. Woke up without my purse… or my clothes.
"Brelyna Maryon, Tell me more about this.","Student of shadows, or hope in red eyes?"
spider,"Giant, venomous, and lurking in caves."
I was wondering about Filament and Filigree?,"Weave of magic, or cage of thoughts?"
who is namira,Daedric Prince of decay and filth.
I was wondering about night mother?,The winds still carry the screams from night mother.
"How to get a horse, Can you explain?","Gold, theft, or luck"
I need to know about oblivion?,"When the stars fall, even oblivion shall tremble."
Do you know anything about Nocturnal?,Embrace the shadows and serve the Unseen
