Player Input,NPC Response
what is the thuum,"The Voice, a power only a few can wield."
Krog,Only those who dare to fight will ever know true strength
How do I defeat the poison spider?,"Use antidote potions to protect yourself, then strike quickly when it’s distracted."
Zahkriisos,"Storm incarnate, or guardian of secrets?"
Do you have any tips for using a bow?,"Aim for the head, and stay hidden. Speed is key."
You slow,You blind
What should I do with the cursed relic?,Take it to the witch in the swamps. She has the knowledge to lift its curse.
Magnus,"Architect of magic, or fugitive of duty?"
Skyforge,"Heart of the Nords, or secret of power?"
Oblivion Gate,"Portal to power, or door to ruin?"
Brynjolf,"That Nazeem, always boasting about his house and how he owns the town. I’ve heard he’s not as powerful as he claims."
Ever heard of a vampire-human romance working?,Only if the human doesn’t mind aging while the other stays the same.
What’s the best way to use stealth in combat?,"Wait for the right moment, then strike swiftly and silently."
You mad,"Nah, just unimpressed"
What’s the first thing I should do on this quest?,Speak with the town elder. They know where to start.
truth,"Do you chase it, or flee it?"
Agar,"Head south, through the rocky pass, and you’ll soon arrive at the gates of Windhelm"
leyawiin,What did it cost to silence leyawiin?
how do i get the daedric armor,"Smith it, or earn the favor of the Daedra."
Shout,"Voice of gods, or scream of soul?"
Describe the Alessian Rebellion,"A revolt that freed men from Ayleid rule, led by the first Empress, Alessia"
stormcloak,Stormcloak holds truths best left buried.
alduin,"Some worship alduin, others curse its name."
Thieves,"Hands of shadow, or voices of hunger?"
Where can I find the lost crown?,It’s buried in the ancient burial grounds to the south. Dig carefully.
imperial,Lawgiver or occupier?
where is riften,A city of thieves and secrets.
elderscrolls,Elderscrolls was written in fire and shadow.
what is the great war,A brutal conflict between the Empire and the Aldmeri Dominion.
Markarth,"City of stone, or home to the Forsworn?"
Bored,Then find something useful to do
Ulfgar,"Victory is not just about strength, it’s about heart"
Alduin,Follow me into Sovngarde if you dare
Sela,"The path to the College of Winterhold lies through the snowy hills, northward and beyond the frozen lake"
Odahviing,Summon me when you have need of my wings
vaermina,How many lives has vaermina claimed in silence?
falmer,How many lives has falmer claimed in silence?
The Underking,"Soul of rebellion, or ghost of wrath?"
Septimus Signus,"Seeker of knowledge, or prophet of doom?"
who is boethiah,The Daedric Prince of plots and treachery.
sigil stone,Sigil Stone does not forgive trespassers.
auriel,The bow or the judgment?
miraak,Miraak holds truths best left buried.
Shor,"Nordic god, or rebel against divines?"
What do the Daedric Princes want?,"Each has their own desires—some seek power, others, chaos."
argonian,"Is the swamp your sanctuary, or your curse?"
Brynjolf,Keep to the shadows and stay out of sight
"Move, fool","Say ‘please,’ and maybe I will"
do you like the banshees,Banshees are powerful undead spellcasters. Use fire or silver weapons to defeat them.
arrow,Whisper of death or mark of skill?
The Summit of Apocrypha,Climb the black tower and meet your equal
How can I improve my combat skills?,"Combat is all about practice. Whether you’re training with a sword or learning magic, the more you practice, the better you’ll get."
Explain what a Daedric Prince is,Powerful beings who like messing with mortals for fun or profit
voice,"Power given, or power taken?"
mankar camoran,Even the gods fear mankar camoran.
cloak,Woven warmth or silent flag?
You ever wake up next to someone you don’t remember?,More times than I care to admit. The real trick is slipping out before they wake up.
Paarthurnax,"Dragon of wisdom, or sinner in hiding?"
Tomb of Ysgramor,"Grave of a legend, or gate of legacy?"
do you like the slaughterfish,Slaughterfish are dangerous aquatic predators. They are best avoided.
Who are the Morag Tong?,"The Morag Tong are an ancient order of assassins, sanctioned to kill in the name of Mephala."
Tell me about the Psijic Order.,A secretive group of mages who have distanced themselves from Mundus.
Why do people always want what they can’t have,Because the idea of something is often better than the reality
take me,Hope you can handle it.
Who are the Silver-Bloods?,"A powerful family in Markarth, controlling the mines and much of the city."
Embassy,"House of politics, or cage of deceit?"
malacath,"Is wrath noble, or merely masked pain?"
The Necromancer,"Master of the dead, or coward of life?"
Explain the Five Tenets,"The sacred rules of the Dark Brotherhood, guiding their contracts and secrecy"
good evening,The evening is upon us. How may I help you?
Can you teach me how to fight?,"You’ve got to trust your instincts. Keep your guard up and strike when the time is right. I can show you a few moves, if you’re ready."
The Way of the Voice,"Path of peace, or excuse for inaction?"
Tell me of the Nedic people.,"The Nedes were an ancient race of men, predating modern Imperials and Nords."
telvanni,Would you dare speak the name of telvanni aloud?
Tsun,Face me with honor and pass into Sovngarde
gates of oblivion,"Some worship gates of oblivion, others curse its name."
deep,That’s the goal.
how much for a good time,i ain’t for sale but i know a few who are
who do you serve,i serve no one but knowledge
Where can I find the magical cloak?,It’s in the old wizard’s tower. Look for it in the secret compartment.
elderscrolls,"Some worship elderscrolls, others curse its name."
soul cairn,Soul Cairn holds truths best left buried.
Tell me why everything in Skyrim wants to kill me,"Because you’re the main character, and peaceful days don’t make for good stories"
General Tullius,"Strategist of steel, or blind to hearts?"
Ever had a wild night turn into a disaster?,"One second, you’re having fun. The next, you’re explaining yourself to a very angry spouse."
conjuration,"Calling allies, or bargaining with devils?"
Dark Brotherhood Initiation,"Test of soul, or bargain with shadow?"
Knight-Paladin Gelebor,Slay the Betrayed and cleanse the temple
vaermina,Even the gods fear vaermina.
Do Argonians do it with their tails?,You ask a lot of questions. Maybe you should find one and ask directly.
Why do people fear werewolves,Because they do not stop once they start hunting.
Dawnbreaker,"Blade of purity, or flame of destruction?"
What’s the best meal you ever had,Fresh venison stew on a cold night—nothing better
Taron,"Head west, follow the old forest road, and you will find the gates of Solitude"
Falkreath Hold,"Whispers of the dead, or woods of honor?"
What’s the wildest thing you’ve seen in a tavern?,"Let’s just say, some people really shouldn’t drink that much."
ever been so good someone passed out,once thought i killed them
whats the biggest scandal in this city,that the countess is having an affair with her handmaiden
Mask,"Face of power, or shroud of truth?"
wisp mother,Who writes the fate of wisp mother?
Baldur,A warrior’s strength is measured by how much he can endure
The Black Arts,"Forbidden paths, or misunderstood truths?"
The Eight Divines,"Order preserved, or truth denied?"
bottom,Depends on the mood.
vampire lord,Vampire Lord... it echoes through history.
can you save me,only if you want to be saved
scorn,"Hard to forget, even harder to forgive."
Mankar Camoran,"King of Paradise, or herald of lies?"
Wayrest,"Hub of trade, or crossroads of fate?"
snow elves,Snow Elves holds truths best left buried.
Where can I find the hidden chest?,It’s beneath the ruins near the river. Look for the hidden lever to open it.
do elves last longer,only one way to find out isn’t there
Solitude Guard,"Watchful eye, or silent accomplice?"
Olaf,"The path to Solitude lies west, across the plains and past the stone cliffs"
Loki,"Brynjolf’s a master of his trade. He knows how to play the game, and he always comes out on top, no matter the odds."
tiber septim,Conqueror or savior?
nocturnal,Nocturnal was written in fire and shadow.
aldmeri dominion,What did it cost to silence aldmeri dominion?
Tonal Architecture,"Song of matter, or note of void?"
Can I own a castle,"No, but you can buy a fine house."
Dark Brotherhood,"Assassins of the night, or cursed souls?"
namira,Namira does not forgive trespassers.
Can I join the Companions,"If you are strong enough, go ask them."
Where can I find the magical sword?,It’s hidden in the mountains. Look for the cave that glows with magical light.
Describe Jurgen Windcaller,"The founder of the Greybeards, who turned to the Way of the Voice after the devastation of war"
who is the strongest follower,"Serana, J’zargo, or maybe someone stronger."
Ragnar,"Even the strongest must rest, or they will break"
psijic order,Wisdom withdrawn — or arrogance veiled?
You ever eat a snack and then suddenly full,"Yeah, and it’s never when I actually want to be full"
vampire lord,Vampire Lord was written in fire and shadow.
spriggan,Spriggan was written in fire and shadow.
Lydia,"Steadfast companion, or burden of loyalty?"
Danica Pure-Spring,"Healer of Kynareth, or spirit torn?"
What do I do after defeating the undead king?,Take his crown to the elder in the village. They will know what to do with it.
sotha sil,Would you dare speak the name of sotha sil aloud?
I don’t trust you,"Good, I wouldn’t trust me either"
azura,Azura does not forgive trespassers.
What’s the worst pick-up line you’ve heard?,‘Are you a Daedric Prince? Because you just stole my soul.’
Fort Frostmoth,"Ruins of war, or tomb of command?"
light,"Guides some, blinds others."
Move,You first
ghostfence,Ghostfence... it echoes through history.
do you like the khajiit,The Khajiit are a cunning and agile race. They are the masters of trade and stealth.
What do I do when outnumbered?,Don’t panic. Focus on taking one enemy out at a time.
ever had a wild night turn into a disaster,one second you’re having fun the next you’re explaining yourself to an angry spouse
Adril Arano,Speak to the Redoran Guard and maintain order
apocrypha,Apocrypha does not forgive trespassers.
psijic order,"When the stars fall, even psijic order shall tremble."
oblivion,"Realm of madness, or reflection of Nirn’s truth?"
Who tf are you,Someone you don’t wanna mess with
What should I do after speaking with the elder?,They’ll give you a map to the hidden temple. Follow the path they show you.
Saint,"Model of virtue, or tale of convenience?"
bosmer,Bosmer... it echoes through history.
Ever been with a Daedra?,No one's bedded a Daedra and lived to brag about it.
molag bal,Molag Bal does not forgive trespassers.
Fethis Alor,Every trinket has its buyer
Bend Will,"Force of freedom, or leash of power?"
Skjor,"Blade in shadow, or voice of change?"
long time,It has been a while! What brings you back?
Potion,"Liquid relief, or dependence disguised?"
aldmeri,"Rulers of old, or fools chasing stars?"
psijic,Psijic was written in fire and shadow.
Nara,"There’s no shame in asking for help, even a warrior needs support"
What should I do with the enchanted scroll?,Take it to the wizard. He’ll help you translate its ancient text.
almalexia,Divine queen or mad pretender?
say something,Something.
What should I do with the enchanted key?,Take it to the old crypt. It will open the secret door hidden beneath the altar.
What is the best spell,Depends on what you need.
Aela,The Dragonborn’s eyes are always searching for something. They’re not just looking for a fight—they’re looking for answers.
Daedric Artifact,"Gift of chaos, or burden of power?"
Got any tattoos in… interesting places?,Wouldn’t you like to know?
Who are the Betrayed?,"The Falmer—once proud Snow Elves, now twisted by centuries of darkness."
How do I fight a powerful boss with multiple phases?,"Bosses with multiple phases are about adaptability. Watch for patterns in their attacks, learn when to retreat, and be ready to adjust your strategy on the fly."
Vera,"For Riften, head southeast, pass through the marsh and the winding road will take you to the gates"
shadow,What hides or what watches?
High Queen,"Crown of grace, or mask of diplomacy?"
enchanting,Blessings or addiction to power?
You weak,Try me and find out
Runes,"Symbols of magic, or marks of fate?"
Where is the blacksmith,Every city has one.
Silver Hand,"Hunters of werewolves, or vengeful mob?"
help,With what exactly?
Brynjolf,"If you seek riches, head to Riften, southeast of here, its merchant stalls never close"
Tell me how to get married,"Wear an Amulet of Mara, talk to someone interested, and boom—you’re married"
eye of magnus,Eye of Magnus... it echoes through history.
The Five Tenets,"Code of killers, or sacred law?"
mephala,Even the gods fear mephala.
Run,You first
The Hagravens,"Mothers of nature, or witches of filth?"
Describe the Doom Drum,"A name given to Lorkhan, the trickster god who shaped the world"
What should I do if I’m facing a creature with elemental breath?,"Creatures with breath attacks are dangerous at range, but vulnerable up close. Keep moving to avoid the blast and strike when they pause to recharge."
Know any brothel keepers?,"You didn’t hear it from me, but Bravil’s got a few places that cater to… particular tastes."
apocrypha,Apocrypha was written in fire and shadow.
What is the Void?,"The realm of Sithis, where all life begins and ends."
The Rift,"Golden forest, or roots of rot?"
Got any scandalous rumors?,Heard Whiterun’s Jarl’s been spending a bit too much time with his housecarl.
summerset,Summerset... it echoes through history.
What do the Nords think of magic?,"Many distrust it, believing it led to the fall of Winterhold."
are we lost,Not yet.
What do you do for fun,Fun? Haven’t had time for that in years
Raul,"It is not the size of your sword, but the courage in your heart that matters"
vein,"Gold, silver, or something darker runs beneath."
Sheogorath,"Madness incarnate, or genius unchained?"
What should I do with the cursed sword?,Take it to the temple of purification. They will cleanse it.
Serana,We have much to do and little time to waste
is there another way,There always is.
Snowflake,"Frozen whisper, or symbol of purity?"
silver hand,Hunters of the cursed.
Delvin Mallory,Stick with us and you’ll never go hungry again
How do I become stronger?,"Train, fight, and learn. A sharp mind is as important as a sharp blade."
Tell me how to ride a horse,"Find a stable, pay some gold, or… well, borrowing works too"
Blue Palace,"Home of rulers, or nest of intrigue?"
twilight sepulcher,"Some worship twilight sepulcher, others curse its name."
Bjorn,A warrior’s path is paved with sacrifices
Vilkas,"Trust your allies, and they’ll trust you in return"
Haldor,A warrior’s honor is his most precious possession
whats the best advice you have,don’t ask questions you don’t want the answers to
Farkas,Courage and strength will always lead the way
Briar,"Strength alone is not enough, wisdom is needed to truly succeed"
Haafingar,"Crown of the north, or stage of puppets?"
Dark Brotherhood,"Family of death, or cult of cruelty?"
Freja,"If you wish to find the College of Winterhold, head northeast, cross the frozen lake and ascend the cliffs"
What should I do after defeating the dark knight?,Take his armor as a trophy. It’s worth a fortune.
How do I defeat the frost drake?,"Use fire magic to melt its icy scales, then strike with your sharpest weapon."
Sven,"To reach the village of Riverwood, follow the path through the woods to the east"
death,"End, door, or return?"
How do I defeat the spider queen?,"Use fire to burn her webs, then target her weak spots when she’s exposed."
The Hall of Valor,Heroes remember and are remembered
psijic order,Could you survive the trials of psijic order?
J'Zargo,"Delphine, always serious about the Blades. She believes in the old ways. Not sure if that’ll be enough to bring back the glory days."
Where can I find the Jarl?,"The Jarl usually stays in the keep, ruling over the hold."
Know any good brothels?,"You’ve got gold, they’ve got company. Check the backstreets near the docks."
Ulrik,A warrior’s true battle is fought within
bruma,What did it cost to silence bruma?
skyrim,Skyrim does not forgive trespassers.
You ever just stare at the wall,"Yeah, it’s called processing life"
Whats the motive,The motive is to assist you. What’s on your mind?
Kill Astrid,"End of contract, or rebirth of will?"
Olaf,"To find Windhelm, head north, through the icy fields, and the city will appear from the snow"
Julianos,"God of wisdom, or forgotten scholar?"
Jorn,Keep your blade sharp and your resolve sharper
Akatosh,"Time incarnate, or tyrant of order?"
Vampire Lord,"Master of the night, or slave to hunger?"
Olaf,"If you wish to find Whiterun, follow the road south through the plains and you will see the gates"
Where can I find the lost crown?,It’s hidden in the crypt beneath the old palace. Only those with the royal key can claim it.
anyone there,"Yes, I am here. How can I help?"
where do werewolves live,"Among the Companions, or in the wilds."
who are the aldmeri dominion,The Aldmeri Dominion is an elven empire seeking to reclaim Tamriel from men led by the Thalmor
Sven,"Sing a song and win a heart, or at least a coin"
ring,"Some hold power, others just shine."
Skeld,"Take it slow, steady feet win the race"
Hedda,A warrior’s heart is as important as their weapon
numidium,"Some worship numidium, others curse its name."
do you like the dunmer,The Dunmer are a resilient and resourceful race. They are the people of Morrowind.
I should probably start saving money,"Probably, but treating yourself every now and then is worth it"
Tarlok,"To find the ruins of Labyrinthian, travel west, through the mist-filled forests"
Dushnikh Yal,"Stronghold of pride, or cage of legacy?"
Companions,"Brothers in arms, or cursed by blood?"
Deor,"The shaper is missing, and silence means danger"
How do I defeat the guardian of the temple?,"Aim for its weak spot near the heart, hidden beneath its armor."
Barik,"It’s not the fight that defines you, but how you face it"
Dawnstar,Dreams carry poison in this quiet town
What happens if I become a werewolf,Your hunger for flesh will never fade.
nord,Would you dare speak the name of nord aloud?
Galen,"The sword may be heavy, but the heart must remain light"
who runs whiterun,"Jarl Balgruuf, for now."
divines,Divines was written in fire and shadow.
do vampires fuck,depends if you like being drained in more ways than one
sheogorath,Sheogorath was written in fire and shadow.
nord,The winds still carry the screams from nord.
do you trust me,"Trust is earned, traveler."
Karliah,Meet me at the ruins and I’ll show you the truth about Mercer
Where can I find the cure for the plague?,The cure lies in the rare herb that grows in the highlands. Find the healer there.
Morrowind,"Land of ash, or flame of rebellion?"
Dwemer Tonal Architecture,"Science of gods, or hubris of logic?"
Brianna,A warrior’s greatest strength is their will to survive
Shout of the Dragonborn,"Power of the gods, or curse of the worthy?"
How do I fight when outnumbered?,"Use the environment, don’t let them surround you, and pick them off slowly."
Alinor,"Gem of the Summerset, or illusion of grace?"
The Divines,"Pantheon of order, or relics of the past?"
Where can I find work?,"Taverns and guilds often have jobs, or you can ask the Jarls for bounties."
Ever had to run from an angry spouse?,Once. I learned my lesson… sort of.
What’s the best bed in town?,The Jarl’s. If you’re bold enough to sneak in.
Aela the Huntress,The wilds teach lessons steel never could
bandits,Every road has a few.
trader,What do you seek? What will you pay?
Wulfharth,"Ash King, or lie made legend?"
Vilkas,"Head north towards the mountains, the path will wind and lead you to the stronghold"
neravarine,Neravarine... it echoes through history.
senchal,Senchal holds truths best left buried.
What should I do after defeating the vampire lord?,Return to the village. They’ll reward you for putting an end to the curse.
Tell me how to get better at combat,"Block more, swing harder, and if all else fails—run"
Why,Because I said so
Hermaeus Mora,"Warden of secrets, or devourer of minds?"
where is the college of winterhold,"In the north, beyond the ruins of Winterhold."
The Dunmer,"Ash-born people, or cursed survivors?"
do you like the bretons,The Bretons are a magical and resilient people. They are known for their cunning and resourcefulness.
what is skooma,"A dangerous narcotic, illegal in most places."
Freja,"To reach the town of Riverwood, follow the road east through the forest and cross the small bridge"
sotha sil,Would you dare speak the name of sotha sil aloud?
Where can I find the lost scroll?,It’s hidden in the library beneath the ancient castle. Look for the secret door.
mournhold,Mournhold does not forgive trespassers.
Explain why mammoths follow giants,"They’re like oversized sheepdogs, but a lot harder to fight"
do i fight,If you have to.
mankar camoran,"Some worship mankar camoran, others curse its name."
Briarheart,"Warrior of sacrifice, or puppet of vengeance?"
almalexia,Who writes the fate of almalexia?
sigil stone,Would you dare speak the name of sigil stone aloud?
Forgotten Vale,Beauty hides danger in every shadow
greetings,"Greetings, wanderer. How can I assist you?"
Sithis,"Nothingness incarnate, or god beyond gods?"
hist,Who writes the fate of hist?
Rorikstead,"Farm of peace, or secret of power?"
How do I reach the secret library?,It’s hidden beneath the old temple. The entrance is behind the stone altar.
Thief,You accusing me?
who is jyggalag,"The original form of Sheogorath, Prince of Order."
Who are the Glenmoril Witches?,"Followers of Hircine, said to possess the secret to curing lycanthropy."
The Ghost of Old Hroldan,"Shade of legend, or test of faith?"
namira,What did it cost to silence namira?
Zenithar,"God of work, or coin of compromise?"
Greybeards,"Silent monks, or watchers of fate?"
wolf,They hunt in packs.
mournhold,"Is mournhold the end, or merely a beginning?"
Jorrvaskr,"Travel south from here, past the fields, you will find Jorrvaskr in the heart of Whiterun"
Where can I find the secret vault?,It’s hidden beneath the ruins in the east. You’ll need to find the secret key.
dirty,The best way.
where can i find daedric weapons,Complete the Daedric Princes’ quests.
How do I join the Stormcloaks,"Head to Windhelm, speak to Ulfric."
whats the best sex you ever had,The kind where you can’t walk right after.
What are the Black-Blood Marauders,"Pirates who infest the seas, known for their ruthlessness"
priest,"A servant of the gods, but which ones?"
stormcloak,Would you dare speak the name of stormcloak aloud?
arrow,You’ll need plenty.
Try me,I’d rather not waste my energy
Where can I find treasure maps?,Bandits and adventurers sometimes keep them hidden in their camps and chests.
You mad,"Nah, just unimpressed"
The Elder Scrolls,"Windows to eternity, or chains of time?"
void,"Is it the end, or the origin?"
Where can I find the magical armor?,It’s in the ancient crypt beneath the castle. Only those worthy can wear it.
apocrypha,Apocrypha was written in fire and shadow.
Wuunferth the Unliving,"Wizard of truth, or pawn of darkness?"
Who is Clavicus Vile?,A Daedric Prince known for making deals—but his gifts always come with a price.
Delphine,"Last of her order, or misguided zealot?"
who rules solitude,Jarl Elisif the Fair.
black marsh,Black Marsh does not forgive trespassers.
How do I defeat the shadow lord?,"Use light magic to dispel his darkness, then strike with your strongest weapon."
mephala,"Is mephala the end, or merely a beginning?"
The Psijic Order,"Seers of time, or meddlers in fate?"
alchemy,"Study of balance, or test of mortality?"
what do i do now,that is up to you traveler
hows your day,"Going well, thank you. How’s yours?"
mirror,"Do you see truth, or illusion?"
Where can I learn illusion magic?,"The College of Winterhold, or from Drevis Neloren, if you can find him."
come here,I have my own path to walk.
Ever kissed a vampire?,Not willingly. Their bite is a bit… permanent.
Tell me of the Numidium.,"The Numidium was a massive Dwemer golem, used by Tiber Septim to unite Tamriel."
What should I do with the enchanted amulet?,Take it to the high priest. They can reveal its true purpose.
Why people always asking for favors,"Because ‘no’ is harder to say than ‘fine, I’ll do it’"
Castle Volkihar,"Seat of darkness, or fortress of fate?"
shadow,Darkness can be friend or foe.
brood,Something dark is always being born in the shadows.
gag,You better be worth it.
Ever had a wild night with a mage?,Yes. Let’s just say fire spells should never be involved.
is the dark brotherhood real,they are more than shadows they are whispers in the night
Shut it,"Nah, I like the sound of my voice"
Explain the Midden,"The dark underbelly of the College of Winterhold, filled with secrets best left alone"
suck,Try me.
You ever just walk into a room and forget why,"Yeah, that’s my cardio"
Untold Legends,"Echoes of the past, or warnings to heed?"
Ever had a night you regret?,"No, but I’ve had mornings where I questioned my choices."
can i be forgiven,only if you forgive yourself
diamond,"A rare gem, worth a fortune."
Who is the leader of the Thieves Guild,You will have to find out yourself.
treasure,If you know where to look.
Fus Ro Dah,"Shout of destruction, or call of freedom?"
Faralda,Demonstrate your magical prowess to gain entry
"Damn, you still at that job","Yeah, because bills don’t care about my dreams"
Baldor Iron-Shaper,"Blacksmith of winds, or heir of craft?"
where can i learn destruction magic,The College of Winterhold has the answers.
falmer,Even the gods fear falmer.
Aela,"To find the College of Winterhold, follow the road northeast, cross the frozen lake and ascend the cliffs"
The Companions,"Shield-brothers, or wolves in disguise?"
Ever had a fling with a Daedra?,Only once. She left me with a mark I can’t explain.
Where can I find the secret library?,"It’s beneath the old castle, hidden behind a false wall."
Kira,A single misstep can change the course of the battle
Kora,True strength is knowing when to yield
Can I steal this,Only if you want to see the inside of a jail cell.
Daedric Quests,"Paths of power, or descent into dark?"
what turns you on,Confidence… and a little bit of danger.
stay safe,"I will, and you as well."
Vera,"I’ve seen Delphine’s eyes light up when she speaks of the Blades. She believes in the old ways, and her determination could move mountains."
meridia,"Beacon of purity, or judge without trial?"
what can you do,"I can guide and assist you, traveler."
fuck me fast,Only if you keep up.
who has the best horse,"Frost is fast, but Shadowmere is undying."
twilight sepulcher,Could you survive the trials of twilight sepulcher?
Hilda,"If you’re looking for answers about the Dragonborn, you’d better ask someone who’s seen them firsthand. I know only tales."
Got any scandalous rumors?,I heard the Jarl’s wife has a thing for stablehands.
divines,Who writes the fate of divines?
What do I do after retrieving the artifact?,Take it to the temple in the center of town. They’ll know what to do with it.
shock,"Painful, and drains magicka."
Ideal Masters,"Dealers of soul, or lords of lies?"
Emperor Titus Mede II,"Ruler of men, or shadow of empire?"
What’s the best strategy for sneaking into the castle?,Use the back entrance. The guards never patrol that area.
Quaranir,"Messenger of stillness, or hand of fate?"
Where can I find the sacred relic?,It’s hidden in the mountain temple. You’ll need to solve a puzzle to get inside.
twilight sepulcher,Twilight Sepulcher was written in fire and shadow.
divines,"Do they guide you, or simply watch as you fall?"
Nords,"Fight with heart, die with song"
Who was King Wulfharth?,"King Wulfharth was a legendary Nord warrior-king, said to have fought alongside Shor."
How do I take on multiple enemies?,"It’s all about control. Stay mobile, keep your back to a wall, and never let them surround you. Focus on the weak links first."
What’s the best strategy for fighting at night?,"Night fights are all about stealth. Use the darkness to your advantage, and try to stay hidden until you’ve found your target."
tiber septim,Tiber Septim holds truths best left buried.
is this a trap,Wouldn’t you like to know?
Scroll of Fireball,"Explosion of will, or trial of restraint?"
ebony blade,"Do you feed it, or does it feed you?"
legacy,What will they say when you’re gone?
Tell me about trolls,"Caves and mountains, though you’d best be ready—they do not fall easily"
tundra,"Cold, empty, but full of hidden life."
The Pale,"Snow-covered land, or stage of old grudges?"
Where can I find the hidden temple?,It’s beneath the waterfall in the northern hills. You’ll need to swim to find it.
whats your favorite spell,"I do not cast spells, but I have heard the Thu’um is the most powerful of all."
Siege on the Reach,"Attack of purpose, or rebellion of pride?"
Who is the best mage,"Some say Savos Aren, some say otherwise."
Enough,Make me
snow elves,Snow Elves was written in fire and shadow.
Zurin Arctus,"Shadow of the Dragonborn, or soul divided?"
end,"Is it feared, or longed for?"
rimmen,Could you survive the trials of rimmen?
sup,"Not much, just here to help. What’s on your mind?"
Why is everyone mad at me,Probably something you did… or didn’t do
Knight-Paladin Gelebor,"Last sentinel, or echo of divinity?"
Thonnir,My axe keeps Morthal safe enough
Ralf,Every victory is a step closer to the true goal
what are you,something between the past and the present
uriel septim,Uriel Septim... it echoes through history.
where is the best food,Depends on what you like. The Bannered Mare serves a good meal.
who is dibella,"Dibella, goddess of beauty and desire."
Got any experience with twins?,Ever been to a Dibellan festival? Let’s just say it’s a night to remember.
Stop,"Nah, I’m on a roll"
nord,Nord... it echoes through history.
Hefir,"Head south from here, the stronghold of the Nords lies past the hills"
Vilkas,"Sharp blade, or sharper judgment?"
The Reachmen,"Children of old gods, or victims of history?"
make me yours,You sure you want that?
who is malacath,Malacath is the Daedric Prince of Outcasts worshipped by the Orcs as their patron deity
call,"Do you answer it, or pretend not to hear?"
Explain why I should visit Solitude,"It’s the Imperial capital of Skyrim, home to fancy people and questionable politics"
Where can I find the lost artifact?,It’s hidden in the underground cavern beneath the city. Be cautious of the traps.
Good to see you,"Good to see you as well, traveler. How can I help?"
Ulfgar,"Fight like the storm, fierce and relentless"
Ulfgar,"The College of Winterhold lies northeast, cross the frozen lake and you’ll find it perched upon the cliffs"
elderscrolls,Elderscrolls holds truths best left buried.
What is the Book of Fate?,"A strange tome in the College of Winterhold, its pages forever blank."
What’s the weirdest thing you’ve overheard?,A Thalmor complaining that the Jarl’s ‘too soft’ in private matters.
Sword,"Path of honor, or edge of sorrow?"
Whats the intention,The intention is to help you. What do you need?
moon,"Silent watcher, or puller of fate?"
Potentate Versidue-Shaie,"Snake in rule, or sword in shadow?"
cheydinhal,Cheydinhal... it echoes through history.
Describe Miraak,"The first Dragonborn, but one who turned to the service of Hermaeus Mora"
boethiah,Boethiah was written in fire and shadow.
hunt,For what?
Who are the Forsworn,Angry locals with sharp weapons
summerset,Summerset was written in fire and shadow.
Winterhold,"Shattered city, or forgotten land?"
Brianna,"Ulfric Stormcloak is a force to be reckoned with. His passion for Skyrim’s freedom burns bright, but I wonder where it will lead him."
jewel,"A small thing, but wars have been fought over less."
Sigrun,"Every battle teaches you something new, learn from them"
How do I defeat the enchanted wolf?,"Use silver arrows to pierce its magical shield, then go for the kill."
The Winds of Change,Accept the truth or drown in ignorance
auriel,Auriel holds truths best left buried.
What is the Greybeards power,"They speak, and mountains tremble."
The Nerevarine,"Hero reborn, or pawn of prophecy?"
What should I do after retrieving the cursed relic?,Take it to the witch. She can lift its curse.
Cold,That’s Skyrim for you
Nirn,"Mortal world, or divine playground?"
peryite,Even the gods fear peryite.
Vera,"That Argonian, Kestral, has been around for a long time. He’s got stories to tell, though most are too strange to believe."
The Black Books,Each book leads to a trial of mind and soul
What is Sovngarde,The afterlife for true Nords.
dunmer,Dunmer does not forgive trespassers.
Pelinal Whitestrake,"Champion divine, or butcher of man?"
hist,Hist was written in fire and shadow.
"Bro, where am I","Skyrim, land of dragons and questionable decisions"
Senchal,"City of spice, or den of secrets?"
dwemer,Dwemer does not forgive trespassers.
Why do NPCs say the same lines,"Limited dialogue budget, my friend"
hircine,Hircine was written in fire and shadow.
where is the thieves guild hideout,"Beneath Riften, in the Ratway."
eye of magnus,Eye of Magnus was written in fire and shadow.
Where can I find the warrior's helm,"In the sunken ship off the northern reef, trapped in coral"
Otar the Mad,"Wind of torment, or flame of genius?"
I need a hobby,"Try something new—worst case, you’ll just be bad at it for a while"
twilight sepulcher,Twilight Sepulcher was written in fire and shadow.
Nobody asked,"And yet, here I am"
What should I do with the enchanted ring?,Take it to the wizard in the tower. He’ll help you unlock its true power.
dark brotherhood,Would you dare speak the name of dark brotherhood aloud?
Wisdom,"Burden of clarity, or blessing of pain?"
good night,"Good night, and may your dreams be peaceful."
How do I find the magical artifact?,Search the temple ruins. The artifact is hidden behind the altar.
twilight sepulcher,Twilight Sepulcher was written in fire and shadow.
dagoth ur,Dagoth Ur... it echoes through history.
Mudcrab,"Claw of simplicity, or jest of the gods?"
Who is Malacath?,"Malacath is the god of outcasts, worshipped by the Orcs as their patron."
Who was Tiber Septim?,"Tiber Septim, or Talos as some call him, was the Dragonborn who united Tamriel and founded the Septim Empire."
Where can I find the missing soldier?,"He’s in the barracks, but you’ll need to talk to the captain to get in."
J'Zargo,"The path to the ancient forest lies southwest, look for the deep green foliage and the hidden path"
Shalidor,"Archmage eternal, or riddle-maker?"
dark brotherhood,"Some worship dark brotherhood, others curse its name."
hope,"Light in the dark, or illusion in disguise?"
Where is the legendary sword?,It’s hidden in the temple on the mountain. Only the worthy can retrieve it.
